performance_id,student_id,course_id,semester,attendance_score,participation_score,homework_score,behavior_score,total_performance_score,teacher_comments,learning_attitude,discipline
1,1,1,第二学期,85.5,61.4,63.2,62.0,68.0,需要加强课堂参与度。,良好,优秀
2,1,2,第二学期,86.5,54.3,78.9,93.6,78.3,课堂纪律良好，表现稳定。,良好,优秀
3,1,3,第一学期,96.7,66.2,73.0,61.0,74.2,学习态度认真，成绩稳步提升。,优秀,一般
4,1,4,第二学期,71.8,41.2,87.2,83.8,71.0,作业完成认真，值得表扬。,一般,优秀
5,1,5,第二学期,74.2,78.9,66.6,74.2,73.5,作业完成认真，值得表扬。,良好,良好
6,1,6,第二学期,88.6,99.7,64.8,88.5,85.4,,较差,优秀
7,1,7,第二学期,89.6,77.8,55.7,85.0,77.0,,优秀,优秀
8,1,8,第二学期,77.8,40.3,70.0,64.3,63.1,需要提高作业质量。,良好,一般
9,1,9,第二学期,74.7,78.6,81.7,97.2,83.0,课堂纪律良好，表现稳定。,较差,优秀
10,1,10,第二学期,90.6,,91.6,92.6,93.7,需要加强课堂参与度。,良好,一般
11,1,13,第一学期,74.3,89.6,,72.4,79.0,学习态度认真，成绩稳步提升。,优秀,一般
12,2,1,第二学期,86.4,62.4,56.4,75.4,70.2,需要提高作业质量。,较差,良好
13,2,2,第二学期,74.4,62.6,68.3,69.5,68.7,课堂表现良好，积极参与讨论。,一般,优秀
14,2,3,第一学期,85.4,47.9,88.1,66.9,72.1,课堂发言积极，思维活跃。,较差,优秀
15,2,4,第一学期,85.0,66.2,73.9,80.8,76.5,作业完成认真，值得表扬。,一般,优秀
16,2,5,第一学期,81.2,,53.5,77.9,62.1,需要提高作业质量。,一般,一般
17,2,6,第二学期,74.5,61.2,99.5,90.9,81.5,课堂发言积极，思维活跃。,良好,一般
18,2,7,第一学期,82.9,80.0,,94.7,79.4,课堂纪律良好，表现稳定。,较差,优秀
19,2,8,第二学期,83.7,54.9,91.3,66.2,74.0,需要提高作业质量。,一般,一般
20,2,9,第一学期,83.9,54.9,99.0,83.4,80.3,,良好,一般
21,2,10,第二学期,72.8,62.0,71.2,76.5,70.6,作业完成认真，值得表扬。,一般,优秀
22,2,13,第一学期,93.5,39.7,57.2,75.8,66.5,课堂纪律良好，表现稳定。,优秀,优秀
23,3,1,第一学期,86.6,34.3,,74.1,67.8,作业完成认真，值得表扬。,一般,一般
24,3,2,第二学期,79.1,86.6,99.6,67.9,83.3,需要加强课堂参与度。,优秀,优秀
25,3,3,第二学期,97.4,75.1,62.9,69.0,76.1,需要加强课堂参与度。,较差,优秀
26,3,4,第二学期,72.9,82.7,75.0,69.7,75.1,学习态度认真，成绩稳步提升。,一般,一般
27,3,5,第一学期,76.9,86.7,71.4,85.9,80.2,学习进步明显，继续努力。,一般,一般
28,3,6,第二学期,73.5,,96.6,76.0,84.6,学习进步明显，继续努力。,优秀,良好
29,3,7,第二学期,99.0,90.9,56.0,64.9,77.7,课堂发言积极，思维活跃。,一般,优秀
