grade_id,student_id,course_id,semester,academic_year,midterm_score,final_score,usual_score,total_score,grade_level,ranking,teacher_id
1,1,1,第二学期,2023-2024,73.9,66.9,76.8,72.5,中等,95.0,3
2,1,12,第一学期,2024-2025,77.8,67.3,55.5,66.9,及格,381.0,3
3,1,5,第一学期,2024-2025,70.6,63.4,98.3,77.4,中等,,3
4,1,4,第一学期,2024-2025,79.5,49.0,89.1,72.5,中等,286.0,3
5,1,10,第二学期,2023-2024,66.4,61.7,72.2,66.8,及格,267.0,3
6,1,3,第二学期,2023-2024,73.9,92.1,61.3,75.8,中等,321.0,3
7,1,6,第一学期,2023-2024,93.0,56.2,72.3,73.8,中等,129.0,3
8,1,13,第二学期,2023-2024,50.1,52.7,77.9,60.2,及格,263.0,3
9,2,10,第一学期,2024-2025,82.5,69.7,53.3,68.5,及格,5.0,3
10,2,11,第一学期,2023-2024,49.4,57.7,,53.7,不及格,253.0,3
11,2,3,第二学期,2023-2024,85.5,89.0,77.4,84.0,良好,404.0,3
12,2,9,第二学期,2024-2025,80.4,75.4,95.3,83.7,良好,329.0,3
13,2,4,第一学期,2023-2024,,55.1,53.0,54.2,不及格,285.0,3
14,2,12,第二学期,2024-2025,79.4,67.4,92.3,79.7,中等,36.0,3
15,2,13,第一学期,2023-2024,,61.5,60.5,69.2,及格,196.0,3
16,2,7,第二学期,2023-2024,74.4,97.3,55.1,75.6,中等,229.0,3
17,3,9,第二学期,2024-2025,73.2,,74.9,72.0,中等,181.0,3
18,3,3,第二学期,2023-2024,73.1,90.0,64.2,75.8,中等,44.0,3
19,3,13,第一学期,2024-2025,93.7,45.5,50.9,63.4,及格,253.0,3
20,3,2,第一学期,2024-2025,73.8,51.3,99.2,74.8,中等,165.0,3
21,3,5,第一学期,2023-2024,96.9,97.4,92.0,95.4,优秀,247.0,3
22,3,4,第一学期,2023-2024,73.0,53.1,94.1,73.4,中等,348.0,3
23,3,10,第二学期,2023-2024,71.7,97.6,75.3,81.5,良好,390.0,3
24,3,12,第二学期,2023-2024,71.2,50.7,81.0,67.6,及格,,3
25,3,7,第二学期,2024-2025,64.0,83.0,59.1,68.7,及格,41.0,3
26,3,1,第一学期,2023-2024,81.9,63.4,63.0,69.4,及格,25.0,3
27,4,13,第一学期,2023-2024,76.4,64.8,61.7,67.6,及格,21.0,3
28,4,2,第一学期,2023-2024,67.1,83.5,65.8,72.1,中等,319.0,3
29,4,4,第一学期,2024-2025,74.4,93.5,55.6,74.5,中等,261.0,3
30,4,11,第二学期,2024-2025,91.0,89.1,59.4,79.8,中等,,3
31,4,10,第一学期,2024-2025,92.2,47.2,87.8,75.7,中等,385.0,3
32,4,8,第一学期,2023-2024,72.8,53.5,96.3,74.2,中等,352.0,3
33,4,12,第一学期,2024-2025,56.2,65.1,85.8,69.0,及格,150.0,3
34,4,9,第一学期,2024-2025,63.5,86.5,75.1,75.0,中等,,3
35,4,7,第二学期,2023-2024,56.6,49.6,90.5,65.6,及格,454.0,3
36,4,3,第一学期,2023-2024,89.9,69.1,59.3,72.8,中等,278.0,3
37,5,2,第一学期,2024-2025,75.0,66.1,78.3,73.1,中等,411.0,3
38,5,13,第一学期,2024-2025,52.8,59.5,81.2,64.5,及格,109.0,3
39,5,9,第二学期,2024-2025,91.4,69.5,64.7,75.2,中等,284.0,3
40,5,4,第二学期,2023-2024,64.3,77.3,86.8,76.1,中等,349.0,3
41,5,11,第二学期,2024-2025,57.2,60.5,89.6,69.1,及格,76.0,3
42,5,5,第一学期,2023-2024,,92.5,54.2,78.9,中等,248.0,3
43,5,12,第二学期,2023-2024,64.4,70.7,93.6,76.2,中等,438.0,3
44,5,3,第二学期,2023-2024,66.6,97.3,73.8,79.2,中等,262.0,3
45,5,1,第二学期,2023-2024,92.0,65.5,57.9,71.8,中等,449.0,3
46,5,7,第一学期,2024-2025,62.6,89.8,66.7,73.0,中等,190.0,3
47,5,10,第二学期,2023-2024,57.2,77.2,69.8,68.1,及格,287.0,3
48,5,6,第一学期,2023-2024,82.0,70.2,78.2,76.8,中等,286.0,3
