score_id,student_id,course_id,exam_type_id,exam_name,exam_date,score,score_level,ranking,teacher_id,comments,difficulty,completion_status
1,1,1,1,语文期中考试,2025-03-28,90.4,A,258.0,2,语文期中考试表现A级,简单,完整
2,1,1,2,语文期末考试,2025-05-31,48.1,E,331.0,5,语文期末考试表现E级,中等,完整
3,1,1,3,语文月考,2024-07-04,68.1,D,111.0,4,语文月考表现D级,中等,完整
4,1,1,4,语文单元测试,2025-02-16,59.8,C,126.0,10,语文单元测试表现C级,中等,完整
5,1,2,1,数学期中考试,2024-07-30,55.4,E,,7,数学期中考试表现E级,中等,全部完成
6,1,2,2,数学期末考试,2025-05-01,69.2,E,110.0,10,数学期末考试表现E级,简单,完整
7,1,2,3,数学月考,2024-11-01,68.1,D,394.0,5,数学月考表现D级,中等,部分未完成
8,1,2,4,数学单元测试,2024-03-27,71.5,C,382.0,5,数学单元测试表现C级,困难,完整
9,1,3,1,英语期中考试,2025-10-09,50.2,E,143.0,6,英语期中考试表现E级,中等,完整
10,1,3,2,英语期末考试,2025-08-21,59.0,E,265.0,1,英语期末考试表现E级,简单,完整
11,1,3,3,英语月考,2025-07-12,86.4,B,284.0,5,英语月考表现B级,简单,完整
12,1,3,4,英语单元测试,2025-11-17,88.9,B,,9,英语单元测试表现B级,困难,部分未完成
13,1,4,1,物理期中考试,2024-05-15,75.3,C,,4,物理期中考试表现C级,简单,完整
14,1,4,2,物理期末考试,2024-01-23,84.3,B,480.0,10,物理期末考试表现B级,困难,完整
15,1,4,3,物理月考,2025-03-02,82.8,B,221.0,10,物理月考表现B级,中等,完整
16,1,4,4,物理单元测试,2024-06-08,72.2,C,486.0,6,物理单元测试表现C级,困难,完整
17,1,5,1,化学期中考试,2024-11-22,82.9,B,247.0,3,化学期中考试表现B级,中等,部分未完成
18,1,5,2,化学期末考试,2024-11-16,72.8,C,123.0,9,化学期末考试表现C级,中等,部分未完成
19,1,5,3,化学月考,2024-05-03,85.0,B,,3,化学月考表现B级,中等,全部完成
20,1,5,4,化学单元测试,2024-09-02,95.7,A,356.0,10,化学单元测试表现A级,中等,完整
