student_id,student_no,first_calculus_score,second_calculus_score,third_calculus_score,calculus_avg_score,study_hours,attendance_count,homework_score,practice_count
1,20221000001,54.2,42.64,41.97,46.27,11.71,79,87.56,17
2,20221000002,41.15,49.41,61.0,50.52,11.35,82,62.66,22
3,20221000003,28.12,35.3,20.41,27.94,9.01,83,35.26,20
4,20221000004,76.67,82.18,75.0,77.95,15.76,87,47.7,18
5,20221000005,66.08,58.24,50.95,58.42,8.9,89,66.67,22
6,20221000006,58.04,59.89,68.7,62.21,30.27,94,71.79,23
7,20221000007,77.53,75.87,88.8,80.73,18.7,90,71.92,32
8,20221000008,33.45,37.08,31.88,34.14,10.36,88,68.31,8
9,20221000009,31.55,29.52,25.38,28.82,10.32,97,59.81,8
10,20221000010,48.79,27.34,25.68,33.94,15.67,93,51.94,18
11,20221000011,66.23,61.95,59.24,62.47,23.97,70,55.88,7
12,20221000012,54.1,58.33,48.88,53.77,6.94,78,92.3,14
13,20221000013,76.64,94.81,100,90.48,12.79,89,49.84,85
14,20221000014,69.18,69.8,70.02,69.67,22.27,80,87.78,20
15,20221000015,33.74,31.86,37.43,34.34,18.93,86,41.65,23
16,20221000016,30.69,30.46,29.3,30.15,16.82,100,85.42,12
17,20221000017,61.05,51.61,61.83,58.16,6.11,95,42.24,22
18,20221000018,73.97,64.76,56.91,65.21,18.39,91,72.91,9
19,20221000019,28.92,20.46,20,23.13,22.9,87,92.76,22
20,20221000020,38.0,36.68,37.34,37.34,10.68,99,62.03,62
21,20221000021,57.48,52.1,64.35,57.98,13.34,92,82.94,25
22,20221000022,41.81,53.71,49.07,48.2,15.73,97,91.54,21
23,20221000023,57.99,54.6,58.34,56.98,12.53,95,66.24,24
24,20221000024,62.83,55.41,76.74,64.99,2.34,97,98.04,10
25,20221000025,34.44,43.59,42.23,40.09,22.75,94,100,36
26,20221000026,41.21,45.11,48.22,44.85,27.12,92,91.48,33
27,20221000027,67.82,68.59,71.34,69.25,16.0,90,92.41,16
28,20221000028,73.84,49.27,58.14,60.42,10.61,70,62.07,24
29,20221000029,72.64,68.09,74.29,71.67,4.41,96,49.22,39
30,20221000030,25.59,38.92,37.4,33.97,20.49,100,46.69,28
31,20221000031,40.74,23.86,29.14,31.25,19.03,93,67.21,16
32,20221000032,31.71,49.55,47.47,42.91,16.94,69,54.34,91
33,20221000033,60.26,69.94,65.79,65.33,4.28,99,72.29,17
34,20221000034,63.06,60.72,56.57,60.12,16.71,96,65.28,20
35,20221000035,46.21,61.75,67.73,58.56,21.25,100,89.82,29
36,20221000036,69.01,62.02,74.91,68.65,20.75,93,69.21,26
37,20221000037,50.94,34.51,29.88,38.44,18.5,78,86.09,18
38,20221000038,66.0,52.94,59.32,59.42,16.33,82,54.12,100
39,20221000039,72.63,69.71,57.31,66.55,11.04,77,77.58,36
40,20221000040,79.8,93.07,100,90.96,9.17,100,86.66,9
41,20221000041,37.22,40.77,48.06,42.02,20.82,100,80.03,123
42,20221000042,54.22,42.43,29.95,42.2,11.11,93,65.09,22
43,20221000043,34.17,22.68,20,25.62,22.12,89,77.18,22
44,20221000044,45.02,45.04,57.56,49.21,18.21,95,100,17
45,20221000045,23.67,20,20,21.22,5.78,100,58.31,66
46,20221000046,35.06,20,20,25.02,15.65,100,52.95,66
47,20221000047,78.41,87.24,81.92,82.52,30.55,77,90.43,21
48,20221000048,81.05,96.11,100,92.39,15.0,100,60.31,63
49,20221000049,56.63,56.39,40.22,51.08,30.18,83,81.53,24
50,20221000050,68.22,58.72,50.44,59.13,21.97,81,80.83,25
